Destination Port,Flow Duration,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Bwd IAT Std,Bwd IAT Max,Fwd PSH Flags,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Init_Win_bytes_backward,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,66635096,1817,203,0,15.0165289256,4380,0,1658.5209580838,993.0853336848,232178.034843206,3506455.98803488,59116192,66635096,555292.466666667,5419313.83701401,59116192,4616924.45104845,59206675,0,0,4380,964.6712802768,1109.1731307281,1230265.03392926,0,0,1,0,0,1,968.0208333333,15.0165289256,1658.5209580838,1817,296,32593857.5,37508245.1556958,59116192,6071523,0
53,31472,128,32,32,32.0,266,266,266.0,0.0,6294.4,13811.38749,30999,31050,10350.0,17882.57272,30999,0.0,4,0,32,266,98.85714286,114.1803085,13037.14286,0,0,0,0,0,0,115.3333333,32.0,266.0,128,-1,0.0,0.0,0,0,0
53,47961,88,44,44,44.0,107,107,107.0,0.0,15987.0,27645.2716933656,47909,48,48.0,0.0,48,0.0,4,0,44,107,69.2,34.5065211228,1190.7,0,0,0,0,0,1,86.5,44.0,107.0,88,-1,0.0,0.0,0,0,0
80,100678310,690,342,0,86.25,4344,0,1932.5,1754.831473,7744485.385,27800000.0,100000000,101000000,14400000.0,37900000.0,100000000,99882.2639,215945,0,0,4344,819.0,1413.63397,1998361.0,0,0,0,1,0,0,877.5,86.25,1932.5,690,235,100000000.0,0.0,100000000,100000000,1
80,83440240,406,406,0,67.66666667,4344,0,1932.5,1754.831473,7585476.364,25100000.0,83400000,83400000,16700000.0,37300000.0,83400000,19989.14902,46247,0,0,4344,923.1538462,1496.957239,2240880.974,0,0,0,1,0,1,1000.083333,67.66666667,1932.5,406,235,83400000.0,0.0,83400000,83400000,1
123,74346,48,48,48,48.0,48,48,48.0,0.0,74346.0,0.0,74346,0,0.0,0.0,0,0.0,0,0,48,48,48.0,0.0,0.0,0,0,0,0,0,1,72.0,48.0,48.0,48,-1,0.0,0.0,0,0,0
80,83519103,385,379,0,55.0,4344,0,1932.5,1754.831473,6959925.25,24100000.0,83400000,83400000,13900000.0,34000000.0,83400000,57423.08032,131116,0,0,4344,855.7142857,1459.629164,2130517.297,0,0,0,1,0,0,921.5384615,55.0,1932.5,385,235,83400000.0,0.0,83400000,83400000,1
56959,58,6,6,6,6.0,6,6,6.0,0.0,58.0,0.0,58,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,1,9.0,6.0,6.0,6,0,0.0,0.0,0,0,0
443,60556078,1159,786,0,89.1538461538,1483,2,327.4166666667,587.61512734,2523169.91666667,4391438.18427407,10009486,60556078,5046339.83333333,5215261.47868259,10093871,5218873.91895622,10094459,0,0,1483,195.6923076923,436.3571719801,190407.581538462,0,0,1,0,0,0,203.52,89.1538461538,327.4166666667,1159,31440,9968616.16666667,95351.1858414284,10009486,9774111,0
443,198298,851,373,0,56.73333333,2896,0,1069.307692,874.2370373,7344.37037,13306.18998,42729,198298,14164.14286,16428.56053,43034,24125.87298,58925,0,0,2896,508.6896552,773.664707,598557.0788,0,0,1,0,0,0,526.8571429,56.73333333,1069.307692,851,122,0.0,0.0,0,0,0
55628,4,12,6,6,6.0,0,0,0.0,0.0,4.0,0.0,4,4,4.0,0.0,4,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,12,-1,0.0,0.0,0,0,0
80,98996,26,20,0,8.666666667,5840,0,2320.2,2658.195854,14142.28571,27819.17333,73743,24993,12496.5,17239.97043,24687,34715.32713,73743,0,0,5840,1291.888889,2240.544155,5020038.111,0,0,1,0,0,1,1453.375,8.666666667,2320.2,26,229,0.0,0.0,0,0,1
4001,49,0,0,0,0.0,6,6,6.0,0.0,49.0,0.0,49,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
32778,3,4,2,2,2.0,0,0,0.0,0.0,3.0,0.0,3,3,3.0,0.0,3,0.0,0,0,2,2,2.0,0.0,0.0,0,0,1,0,0,0,3.0,2.0,0.0,4,-1,0.0,0.0,0,0,0
443,148455,188,188,0,31.3333333333,1504,0,738.0,852.4756105993,16495.0,21607.5628889516,50566,148455,29691.0,23039.8569874034,53897,45065.1121267883,79783,0,0,1504,285.4545454545,591.4166659194,349773.672727273,0,0,1,0,0,0,314.0,31.3333333333,738.0,188,61,0.0,0.0,0,0,0
53,199,64,32,32,32.0,136,136,136.0,0.0,66.3333333333,108.831674311,192,4,4.0,0.0,4,0.0,3,0,32,136,73.6,56.9631459805,3244.8,0,0,0,0,0,1,92.0,32.0,136.0,64,-1,0.0,0.0,0,0,0
80,5421837,30,6,6,6.0,0,0,0.0,0.0,1355459.25,2710192.548,5420748,5421837,1355459.25,2710192.548,5420748,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,7.2,6.0,0.0,30,-1,5420748.0,0.0,5420748,5420748,1
53,159,88,44,44,44.0,60,60,60.0,0.0,53.0,52.67826876,108,3,3.0,0.0,3,0.0,48,0,44,60,50.4,8.76356092,76.8,0,0,0,0,0,1,63.0,44.0,60.0,88,-1,0.0,0.0,0,0,0
53,70897,63,63,63,63.0,121,121,121.0,0.0,70897.0,0.0,70897,0,0.0,0.0,0,0.0,0,0,63,121,82.3333333333,33.486315613,1121.3333333333,0,0,0,0,0,1,123.5,63.0,121.0,63,-1,0.0,0.0,0,0,0
53,486,85,85,85,85.0,167,167,167.0,0.0,486.0,0.0,486,0,0.0,0.0,0,0.0,0,0,85,167,112.3333333,47.34272207,2241.333333,0,0,0,0,0,1,168.5,85.0,167.0,85,-1,0.0,0.0,0,0,0
443,92395,1074,733,0,179.0,1460,0,561.5,642.2279190443,8399.5454545455,9264.3474822962,23953,67966,13593.2,10588.2185801012,26200,15193.4676193422,31890,0,0,1460,341.7692307692,502.4889972006,252495.192307692,0,0,1,0,0,1,370.25,179.0,561.5,1074,62,0.0,0.0,0,0,0
53,199,62,31,31,31.0,59,59,59.0,0.0,66.33333333,103.7802165,186,1,1.0,0.0,1,0.0,12,0,31,59,42.2,15.33623161,235.2,0,0,0,0,0,1,52.75,31.0,59.0,62,-1,0.0,0.0,0,0,0
53,201,140,70,70,70.0,166,166,166.0,0.0,67.0,109.1192009,193,4,4.0,0.0,4,0.0,4,0,70,166,108.4,52.58136552,2764.8,0,0,0,0,0,1,135.5,70.0,166.0,140,-1,0.0,0.0,0,0,0
443,10088941,1139,818,0,126.5555556,1448,0,447.5,613.228116,560496.7222,2355265.004,9997850,10100000,1261117.625,3530234.205,9997940,3330470.792,10000000,0,0,1448,280.7,488.5088051,238640.8526,0,0,1,0,0,1,295.4736842,126.5555556,447.5,1139,30,9997850.0,0.0,9997850,9997850,0
80,99513666,312,300,0,62.4,4344,0,1932.5,1754.831473,9951366.6,31400000.0,99400000,99400000,24800000.0,49700000.0,99400000,59296.33499,135159,0,0,4344,992.75,1539.420855,2369816.568,1,0,0,0,0,1,1083.0,62.4,1932.5,312,235,99400000.0,0.0,99400000,99400000,1
443,85063,86,86,0,28.6666666667,7,0,1.75,3.5,14177.1666666667,21707.1914573642,42261,42679,21339.5,29670.9076453687,42320,24500.7348121099,42558,0,0,86,11.625,30.1516997862,909.125,0,0,1,0,0,1,13.2857142857,28.6666666667,1.75,86,22,0.0,0.0,0,0,0
443,13860302,402,246,0,50.25,1511,0,748.0,798.991113843,1066177.07692308,3751185.61430857,13550250,13860302,1980043.14285714,5102253.69746623,13550250,48507.4548157291,90183,0,0,1511,326.0,599.4872809326,359385.0,0,0,1,0,0,0,349.2857142857,50.25,748.0,402,110,0.0,0.0,0,0,0
53,61863,78,39,39,39.0,219,219,219.0,0.0,20621.0,35711.42355,61857,3,3.0,0.0,3,0.0,3,0,39,219,111.0,98.59006035,9720.0,0,0,0,0,0,1,138.75,39.0,219.0,78,-1,0.0,0.0,0,0,0
59891,20869,12,6,6,6.0,6,6,6.0,0.0,10434.5,14634.98905,20783,20869,20869.0,0.0,20869,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,0,8.0,6.0,6.0,12,255,0.0,0.0,0,0,0
80,85803097,395,377,0,65.83333333,4344,0,1656.428571,1760.597234,7150258.083,24700000.0,85600000,85700000,17100000.0,38300000.0,85600000,35000000.0,85600000,0,0,4344,856.8571429,1458.869945,2128301.516,1,0,0,0,0,1,922.7692308,65.83333333,1656.428571,395,235,85600000.0,0.0,85600000,85600000,1
53,23760,74,37,37,37.0,97,97,97.0,0.0,7920.0,13711.78023,23753,3,3.0,0.0,3,0.0,4,0,37,97,61.0,32.86335345,1080.0,0,0,0,0,0,1,76.25,37.0,97.0,74,-1,0.0,0.0,0,0,0
53,31087,48,48,48,48.0,80,80,80.0,0.0,31087.0,0.0,31087,0,0.0,0.0,0,0.0,0,0,48,80,58.66666667,18.47520861,341.3333333,0,0,0,0,0,1,88.0,48.0,80.0,48,-1,0.0,0.0,0,0,0
53,157,90,45,45,45.0,61,61,61.0,0.0,52.33333333,85.44783984,151,3,3.0,0.0,3,0.0,3,0,45,61,51.4,8.76356092,76.8,0,0,0,0,0,1,64.25,45.0,61.0,90,-1,0.0,0.0,0,0,0
53,23861,66,66,66,66.0,98,98,98.0,0.0,23861.0,0.0,23861,0,0.0,0.0,0,0.0,0,0,66,98,76.66666667,18.47520861,341.3333333,0,0,0,0,0,1,115.0,66.0,98.0,66,-1,0.0,0.0,0,0,0
53,463148,40,40,40,40.0,186,186,186.0,0.0,463148.0,0.0,463148,0,0.0,0.0,0,0.0,0,0,40,186,88.66666667,84.2931393,7105.333333,0,0,0,0,0,1,133.0,40.0,186.0,40,-1,0.0,0.0,0,0,0
53,148,68,34,34,34.0,79,79,79.0,0.0,49.3333333333,80.2516874174,142,3,3.0,0.0,3,0.0,3,0,34,79,52.0,24.6475150877,607.5,0,0,0,0,0,1,65.0,34.0,79.0,68,-1,0.0,0.0,0,0,0
53,219,78,39,39,39.0,55,55,55.0,0.0,73.0,112.7430707405,203,2,2.0,0.0,2,0.0,14,0,39,55,45.4,8.7635609201,76.8,0,0,0,0,0,1,56.75,39.0,55.0,78,-1,0.0,0.0,0,0,0
21571,111,4,2,2,2.0,6,6,6.0,0.0,37.0,19.05255888,48,48,48.0,0.0,48,0.0,48,0,2,6,3.6,2.19089023,4.8,0,0,1,0,0,1,4.5,2.0,6.0,4,0,0.0,0.0,0,0,0
53,172,68,34,34,34.0,50,50,50.0,0.0,57.33333333,58.56051002,120,4,4.0,0.0,4,0.0,48,0,34,50,40.4,8.76356092,76.8,0,0,0,0,0,1,50.5,34.0,50.0,68,-1,0.0,0.0,0,0,0
80,32397,26,20,0,8.666666667,10135,0,2321.4,4413.201989,4628.142857,11482.41446,30650,1314,657.0,924.8956698,1311,15056.39606,30650,0,0,10135,1292.555556,3350.634907,11200000.0,0,0,1,0,0,1,1454.125,8.666666667,2321.4,26,229,0.0,0.0,0,0,1
64823,100963077,11607,8760,0,2321.4,20,0,6.8,5.006662228,7211648.357,24900000.0,93500000,101000000,25200000.0,50400000.0,101000000,31000000.0,93500000,0,0,8760,730.0625,2254.591773,5083184.063,0,0,0,1,1,2,778.7333333,2321.4,6.8,11607,256,50400000.0,61000000.0,93500000,7222817,0
80,154670,327,327,0,109.0,7240,0,2319.0,3331.638186,22095.71429,51873.79638,139255,15009,7504.5,7776.053273,13003,67432.23998,139255,0,0,7240,1324.666667,2636.340029,6950288.75,0,0,1,0,0,1,1490.25,109.0,2319.0,327,235,0.0,0.0,0,0,1
53,180230,68,34,34,34.0,125,125,125.0,0.0,60076.66667,104050.6429,180224,3,3.0,0.0,3,0.0,3,0,34,125,70.4,49.84275273,2484.3,0,0,0,0,0,1,88.0,34.0,125.0,68,-1,0.0,0.0,0,0,0
60020,37,4,2,2,2.0,6,6,6.0,0.0,12.33333333,19.62990915,35,1,1.0,0.0,1,0.0,1,0,2,6,3.6,2.19089023,4.8,0,0,1,0,0,1,4.5,2.0,6.0,4,0,0.0,0.0,0,0,0
53,190,64,32,32,32.0,79,79,79.0,0.0,63.33333333,107.9645003,188,1,1.0,0.0,1,0.0,1,0,32,79,50.8,25.7429602,662.7,0,0,0,0,0,1,63.5,32.0,79.0,64,-1,0.0,0.0,0,0,0
443,4,0,0,0,0.0,0,0,0.0,0.0,4.0,0.0,4,4,4.0,0.0,4,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
53,23752,47,47,47,47.0,175,175,175.0,0.0,23752.0,0.0,23752,0,0.0,0.0,0,0.0,0,0,47,175,89.66666667,73.90083446,5461.333333,0,0,0,0,0,1,134.5,47.0,175.0,47,-1,0.0,0.0,0,0,0
80,4038700,30,6,6,6.0,0,0,0.0,0.0,1009675.0,2018022.054,4036708,4038700,1009675.0,2018022.054,4036708,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,7.2,6.0,0.0,30,-1,0.0,0.0,0,0,1
53,47464,90,45,45,45.0,177,177,177.0,0.0,15821.33333,27396.42497,47456,4,4.0,0.0,4,0.0,4,0,45,177,97.8,72.29937759,5227.2,0,0,0,0,0,1,122.25,45.0,177.0,90,-1,0.0,0.0,0,0,0
53,247,84,42,42,42.0,102,102,102.0,0.0,82.33333333,60.33517493,152,47,47.0,0.0,47,0.0,48,0,42,102,66.0,32.86335345,1080.0,0,0,0,0,0,1,82.5,42.0,102.0,84,-1,0.0,0.0,0,0,0
443,32171182,1422,949,0,109.3846154,1418,0,480.375,614.0555902,1608559.1,7139098.25,31900000,32200000,2680931.833,9213963.394,31900000,35517.36274,83419,0,0,1418,239.3181818,447.9437025,200653.5606,0,0,1,0,0,0,250.7142857,109.3846154,480.375,1422,362,31900000.0,0.0,31900000,31900000,0
80,12419,12,6,6,6.0,0,0,0.0,0.0,12419.0,0.0,12419,12419,12419.0,0.0,12419,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,12,-1,0.0,0.0,0,0,0
443,3,12,6,6,6.0,0,0,0.0,0.0,3.0,0.0,3,3,3.0,0.0,3,0.0,0,0,6,6,6.0,0.0,0.0,1,0,0,0,0,0,9.0,6.0,0.0,12,-1,0.0,0.0,0,0,0
53,180,90,45,45,45.0,86,86,86.0,0.0,60.0,96.9948452239,172,4,4.0,0.0,4,0.0,4,0,45,86,61.4,22.4566248577,504.3,0,0,0,0,0,1,76.75,45.0,86.0,90,-1,0.0,0.0,0,0,0
443,533,0,0,0,0.0,0,0,0.0,0.0,533.0,0.0,533,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0.0,0.0,0.0,0,143,0.0,0.0,0,0,0
80,1122445,26,20,0,8.666666667,7215,0,2321.4,3327.769794,160349.2857,423840.0095,1121528,667,333.5,378.3021279,601,560624.5624,1121528,0,0,7215,1292.555556,2650.585648,7025604.278,0,0,1,0,0,1,1454.125,8.666666667,2321.4,26,229,0.0,0.0,0,0,1
20021,115,6,6,6,6.0,6,6,6.0,0.0,115.0,0.0,115,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,251,0.0,0.0,0,0,0
53,31020,104,52,52,52.0,116,116,116.0,0.0,10340.0,17903.34318,31013,3,3.0,0.0,3,0.0,4,0,52,116,77.6,35.05424368,1228.8,0,0,0,0,0,1,97.0,52.0,116.0,104,-1,0.0,0.0,0,0,0
53,100383,74,37,37,37.0,77,77,77.0,0.0,33461.0,57900.72894,100319,49,49.0,0.0,49,0.0,15,0,37,77,53.0,21.9089023,480.0,0,0,0,0,0,1,66.25,37.0,77.0,74,-1,0.0,0.0,0,0,0
53,2048679,156,26,26,26.0,74,74,74.0,0.0,292668.428571429,469630.233119227,1000071,1092533,218506.6,438737.931759724,1000071,0.0,3,0,26,74,36.6666666667,21.1660104885,448.0,0,0,0,0,0,0,41.25,26.0,74.0,156,-1,0.0,0.0,0,0,0
80,99205435,362,344,0,60.33333333,4344,0,1449.375,1895.881019,7631187.308,27500000.0,99200000,99200000,19800000.0,44400000.0,99200000,37500000.0,99200000,0,0,4344,797.5333333,1524.646229,2324546.124,1,0,0,0,0,1,854.5,60.33333333,1449.375,362,235,99200000.0,0.0,99200000,99200000,1
80,3,0,0,0,0.0,0,0,0.0,0.0,3.0,0.0,3,3,3.0,0.0,3,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,1
443,117027214,1170,433,0,68.82352941,1430,0,350.5625,536.4054398,3657100.438,14300000.0,58400000,117000000,7314200.875,19900000.0,58400000,20500000.0,58400000,0,0,1430,199.3823529,397.1631994,157738.607,0,0,1,0,0,0,205.4242424,68.82352941,350.5625,1170,360,58300000.0,100443.8112,58400000,58200000,0
443,162,0,0,0,0.0,0,0,0.0,0.0,162.0,0.0,162,162,162.0,0.0,162,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
443,6007799,123,46,0,24.6,46,46,46.0,0.0,1201559.8,2630397.927,5906742,6007799,1501949.75,2936624.715,5906742,0.0,0,1,0,46,30.71428571,21.68497395,470.2380952,0,1,0,1,0,0,35.83333333,24.6,46.0,123,118,5906742.0,0.0,5906742,5906742,0
53,48618,94,47,47,47.0,102,102,102.0,0.0,16206.0,28066.1513,48614,1,1.0,0.0,1,0.0,3,0,47,102,69.0,30.12474066,907.5,0,0,0,0,0,1,86.25,47.0,102.0,94,-1,0.0,0.0,0,0,0
50985,98,6,6,6,6.0,6,6,6.0,0.0,98.0,0.0,98,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,258,0.0,0.0,0,0,0
37136,1,0,0,0,0.0,0,0,0.0,0.0,1.0,0.0,1,1,1.0,0.0,1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
443,118280487,3370,1410,0,187.2222222,1410,0,237.7368421,441.2621849,3285569.083,13700000.0,58900000,118000000,6957675.706,19600000.0,59000000,19000000.0,58900000,0,0,1410,207.5526316,396.2400104,157006.1458,0,0,1,0,0,1,213.1621622,187.2222222,237.7368421,3370,156,58900000.0,13510.68927,58900000,58900000,0
53,31192,86,43,43,43.0,97,97,97.0,0.0,10397.33333,18003.51344,31186,3,3.0,0.0,3,0.0,3,0,43,97,64.6,29.57701811,874.8,0,0,0,0,0,1,80.75,43.0,97.0,86,-1,0.0,0.0,0,0,0
443,145,12,6,6,6.0,0,0,0.0,0.0,145.0,0.0,145,145,145.0,0.0,145,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,9.0,6.0,0.0,12,-1,0.0,0.0,0,0,0
53,859,80,40,40,40.0,101,101,101.0,0.0,286.3333333,490.7477288,853,3,3.0,0.0,3,0.0,3,0,40,101,64.4,33.41107601,1116.3,0,0,0,0,0,1,80.5,40.0,101.0,80,-1,0.0,0.0,0,0,0
443,150736,844,373,0,60.2857142857,1448,0,472.2727272727,619.4772136098,6280.6666666667,10160.4144201113,36703,150736,11595.0769230769,12398.1119292518,36703,19590.0369110877,56357,0,0,1448,232.2692307692,452.3095893471,204583.964615385,0,0,1,0,0,0,241.56,60.2857142857,472.2727272727,844,29,0.0,0.0,0,0,0
80,10050774,36,6,6,6.0,0,0,0.0,0.0,2010154.8,4490369.578,10000000,10100000,2010154.8,4490369.578,10000000,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,0,0,7.0,6.0,0.0,36,-1,10000000.0,0.0,10000000,10000000,1
53,30671,40,40,40,40.0,152,152,152.0,0.0,30671.0,0.0,30671,0,0.0,0.0,0,0.0,0,0,40,152,77.3333333333,64.6632301492,4181.3333333333,0,0,0,0,0,1,116.0,40.0,152.0,40,-1,0.0,0.0,0,0,0
80,838542,26,20,0,8.666666667,5840,0,2900.25,3345.636997,139757.0,337781.1457,829212,9013,4506.5,6366.082351,9008,476091.4373,829212,0,0,5840,1453.375,2681.356423,7189672.268,0,0,1,0,0,1,1661.0,8.666666667,2900.25,26,229,0.0,0.0,0,0,1
443,237981,1026,501,0,78.9230769231,1418,0,493.875,615.4671715743,11899.05,19277.7917262189,55427,237981,19831.75,22073.268160729,55427,37506.8800742579,92904,0,0,1418,226.2272727273,427.0448768453,182367.326839827,0,0,1,0,0,0,237.0,78.9230769231,493.875,1026,357,0.0,0.0,0,0,0
80,98409998,402,396,0,44.66666667,4344,0,1656.428571,1946.27472,6560666.533,25400000.0,98400000,98400000,12300000.0,34800000.0,98400000,12278.69297,30233,0,0,4344,705.7058824,1449.670211,2101543.721,0,0,0,1,0,0,749.8125,44.66666667,1656.428571,402,235,98400000.0,0.0,98400000,98400000,1
80,29143,26,20,0,8.666666667,4380,0,2320.2,2193.240798,4163.285714,10070.69797,26960,27029,13514.5,19095.41863,27017,13248.16318,27112,0,0,4380,1291.888889,1972.862923,3892188.111,0,0,1,0,0,1,1453.375,8.666666667,2320.2,26,229,0.0,0.0,0,0,1
58819,66,0,0,0,0.0,0,0,0.0,0.0,66.0,0.0,66,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,0.0,0,360,0.0,0.0,0,0,0
53,186,92,46,46,46.0,94,94,94.0,0.0,62.0,62.5219961294,130,49,49.0,0.0,49,0.0,7,0,46,94,65.2,26.2906827602,691.2,0,0,0,0,0,1,81.5,46.0,94.0,92,-1,0.0,0.0,0,0,0
53,167,62,31,31,31.0,47,47,47.0,0.0,55.66666667,90.35670054,160,3,3.0,0.0,3,0.0,4,0,31,47,37.4,8.76356092,76.8,0,0,0,0,0,1,46.75,31.0,47.0,62,-1,0.0,0.0,0,0,0
3517,34,0,0,0,0.0,6,6,6.0,0.0,34.0,0.0,34,0,0.0,0.0,0,0.0,0,0,0,6,2.0,3.464101615,12.0,0,0,1,0,0,1,3.0,0.0,6.0,0,0,0.0,0.0,0,0,1
53561,415,43,31,6,14.33333333,6,6,6.0,0.0,138.3333333,89.91292084,239,415,207.5,44.54772721,239,0.0,0,0,6,31,11.0,11.18033989,125.0,0,0,0,1,0,0,13.75,14.33333333,6.0,43,0,0.0,0.0,0,0,0
53,60275,92,46,46,46.0,289,289,289.0,0.0,20091.6666666667,34792.8592721744,60267,4,4.0,0.0,4,0.0,4,0,46,289,143.2,133.0965814738,17714.7,0,0,0,0,0,1,179.0,46.0,289.0,92,-1,0.0,0.0,0,0,0
443,5319912,135,46,6,27.0,46,46,46.0,0.0,1063982.4,2249780.1078705,5085885,5319912,1329978.0,2506360.8102216,5085885,0.0,0,1,6,46,32.4285714286,18.8667003197,355.9523809524,0,1,0,1,0,0,37.8333333333,27.0,46.0,135,368,5085885.0,0.0,5085885,5085885,0
49439,190,0,0,0,0.0,0,0,0.0,0.0,63.33333333,59.50070028,123,0,0.0,0.0,0,41.71930009,63,0,0,0,0.0,0.0,0.0,0,0,0,1,1,3,0.0,0.0,0.0,0,389,0.0,0.0,0,0,0
57581,3,0,0,0,0.0,0,0,0.0,0.0,3.0,0.0,3,3,3.0,0.0,3,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,-1,0.0,0.0,0,0,0
53,132458,46,46,46,46.0,164,164,164.0,0.0,132458.0,0.0,132458,0,0.0,0.0,0,0.0,0,0,46,164,85.33333333,68.12733176,4641.333333,0,0,0,0,0,1,128.0,46.0,164.0,46,-1,0.0,0.0,0,0,0
443,176979,918,194,0,30.6,4380,0,1470.594595,1235.550742,2681.5,6824.717295,28260,176979,6102.724138,9899.913188,28312,7851.788813,29326,0,0,4380,813.6764706,1159.484541,1344404.401,0,0,1,0,0,1,825.8208955,30.6,1470.594595,918,292,0.0,0.0,0,0,0
443,5336256,584,326,0,73.0,1460,2,653.5714286,755.4927437,381161.1429,1347208.495,5058261,5336256,762322.2857,1896102.462,5058261,12666.16817,25032,0,0,1460,322.4375,571.422082,326523.1958,0,0,1,0,0,0,343.9333333,73.0,653.5714286,584,34968,5058261.0,0.0,5058261,5058261,0
5000,26,2,2,2,2.0,6,6,6.0,0.0,26.0,0.0,26,0,0.0,0.0,0,0.0,0,0,2,6,3.333333333,2.309401077,5.333333333,0,0,1,0,0,1,5.0,2.0,6.0,2,0,0.0,0.0,0,0,1
50842,83,6,6,6,6.0,6,6,6.0,0.0,83.0,0.0,83,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,255,0.0,0.0,0,0,0
53,83217,60,30,30,30.0,132,132,132.0,0.0,27739.0,47999.46328,83164,49,49.0,0.0,49,0.0,4,0,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,1,88.5,30.0,132.0,60,-1,0.0,0.0,0,0,0
55004,425272,12,6,0,2.4,163,163,163.0,0.0,85054.4,132267.0639,301531,425272,106318.0,142580.2165,301617,0.0,0,0,0,163,25.0,60.91797764,3711.0,0,0,0,1,0,0,29.16666667,2.4,163.0,12,316,0.0,0.0,0,0,0
80,85177077,406,388,0,67.66666667,4344,0,1656.428571,1760.597234,7098089.75,24500000.0,85000000,85000000,17000000.0,38000000.0,85000000,34700000.0,85000000,0,0,4344,857.6428571,1458.594561,2127498.093,1,0,0,0,0,1,923.6153846,67.66666667,1656.428571,406,235,85000000.0,0.0,85000000,85000000,1
53,31270,92,46,46,46.0,174,174,174.0,0.0,10423.3333333333,18009.5884554127,31219,47,47.0,0.0,47,0.0,4,0,46,174,97.2,70.1084873607,4915.2,0,0,0,0,0,1,121.5,46.0,174.0,92,-1,0.0,0.0,0,0,0
53,62831,74,37,37,37.0,85,85,85.0,0.0,20943.66667,36271.16467,62826,1,1.0,0.0,1,0.0,4,0,37,85,56.2,26.29068276,691.2,0,0,0,0,0,1,70.25,37.0,85.0,74,-1,0.0,0.0,0,0,0
52857,211,0,0,0,0.0,0,0,0.0,0.0,105.5,60.1040764,148,211,211.0,0.0,211,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0,65535,0.0,0.0,0,0,0
55504,50,6,6,6,6.0,6,6,6.0,0.0,50.0,0.0,50,0,0.0,0.0,0,0.0,0,0,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,6,256,0.0,0.0,0,0,0
53,90464864,137,73,64,68.5,125,117,121.0,5.6568542495,30154954.6666667,52111164.3775769,90327719,90348572,90348572.0,0.0,90348572,0.0,90444011,0,64,125,88.6,29.9382698231,896.3,0,0,0,0,0,1,110.75,68.5,121.0,137,-1,90327719.0,0.0,90327719,90327719,0
443,1228378,800,485,0,133.3333333333,501,0,87.25,176.5419820569,94490.6153846154,264969.759401124,970631,257747,51549.4,49251.7693519735,110952,369691.349690844,1000252,0,0,501,99.8666666667,173.6942579307,30169.6952380952,0,0,1,0,0,1,107.0,133.3333333333,87.25,800,5168,0.0,0.0,0,0,0
